"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
30283630,"Alexander's Lofted Bedroom with Private Entrance",103615271,"Alexander","Brooklyn","Bedford-Stuyvesant",40.69657,-73.93536,"Private room",50,21,1,"2019-06-04",0.86,1,10
15564955,"Sleep Cosy in an Elegant Midtown East Apartment",437960,"Denise","Manhattan","Midtown",40.76135,-73.96645,"Private room",230,8,4,"2018-04-12",0.17,1,87
35711828,"Cosy Bedroom in CITY CENTER",268276813,"Andy","Manhattan","Hell's Kitchen",40.76565,-73.99392,"Private room",150,1,0,"",NA,3,365
9329090,"Prime MidTown East Spacious Studio",9226879,"Christina","Manhattan","Midtown",40.75145,-73.9752,"Entire home/apt",140,4,1,"2016-01-10",0.02,2,223
29881712,"Home Away from Home - Manhattan",210112096,"Genevieve","Manhattan","East Harlem",40.7901,-73.94111,"Private room",74,2,32,"2019-06-27",3.98,1,195
31974592,"Cozy apartment in Brooklyn Brownstone",186251769,"Bibiane","Brooklyn","Bedford-Stuyvesant",40.68875,-73.9516,"Entire home/apt",110,1,19,"2019-07-07",5.04,1,34
34086944,"Sonder | Stock Exchange | Original 1BR + Laundry",219517861,"Sonder (NYC)","Manhattan","Financial District",40.70712,-74.01201,"Entire home/apt",185,2,2,"2019-06-07",1.28,327,291
6555427,"Inviting,sunny grdn 15 min to Manhattan",24597265,"Freda","Queens","Ditmars Steinway",40.77209,-73.91096,"Private room",50,6,11,"2019-05-31",0.24,8,358
34714579,"Private bedroom with private bathroom in Brooklyn",57189210,"Fernanda","Brooklyn","Crown Heights",40.67493,-73.94828,"Private room",90,3,1,"2019-06-11",1,1,56
5259407,"2BR Prime West village~Sleeps 5",2119276,"Host","Manhattan","West Village",40.73226,-74.00644,"Entire home/apt",250,30,3,"2015-12-23",0.06,39,365
33334958,"Private NYC Studio--Near Central Park + East River",68930822,"Jill Lauren","Manhattan","Upper East Side",40.76218,-73.95858,"Entire home/apt",150,3,13,"2019-06-25",4.24,1,61
22192616,"The SerenitySuite. Clean, Cozy and Private.",160326327,"Jammie","Brooklyn","Cypress Hills",40.68529,-73.87424,"Entire home/apt",99,2,37,"2019-06-23",2.05,3,14
26271688,"Affordable Sunnyside Room. Comfortable Quiet Safe.",137358866,"Kazuya","Queens","Sunnyside",40.735,-73.92038,"Private room",34,30,2,"2019-03-24",0.18,103,251
333323,"Cozy bedroom near Times Square",1698391,"Pat","Manhattan","Hell's Kitchen",40.76186,-73.99165,"Private room",75,2,118,"2019-07-01",2.11,3,312
32523519,"The Manhattan View",173009,"Scott And Bea","Staten Island","Stapleton",40.63285,-74.0778,"Entire home/apt",125,2,10,"2019-07-07",3.19,1,252
33519952,"Class, Comfort, Convenience In The Heart of NYC",229489983,"Devin","Manhattan","Hell's Kitchen",40.76485,-73.99229,"Entire home/apt",799,2,5,"2019-06-02",2.38,1,247
3793161,"location Vera",3250450,"Petya","Queens","Woodside",40.75338,-73.90618,"Private room",39,30,9,"2019-05-14",0.16,18,318
35616793,"CozySuite near F Train & LIRR
Min 2 guests",153141476,"Franz","Queens","Briarwood",40.70762,-73.81453,"Entire home/apt",78,1,5,"2019-07-06",5,3,326
852632,"Gowanis Urban Oasis",4451246,"Raymond","Brooklyn","Gowanus",40.66893,-73.99404,"Shared room",44,2,155,"2019-07-01",2.11,1,325
28918211,"B1. Shared room for 4 guests",215588687,"Levi","Brooklyn","Prospect-Lefferts Gardens",40.66151,-73.9455,"Shared room",30,2,5,"2019-04-20",0.55,6,365
11488593,"LUXURY DOORMAN STUDIO ON EAST 44th STREET",2856748,"Ruchi","Manhattan","Midtown",40.75066,-73.97037,"Entire home/apt",198,30,0,"",NA,49,364
34420574,"Cozy home away from home",259838485,"Jenn And Mike","Bronx","Parkchester",40.83792,-73.85526,"Entire home/apt",100,1,8,"2019-06-23",4.71,1,51
24413589,"Peaceful place 10min. from Center of New York City",72872297,"Zamira","Queens","Long Island City",40.75558,-73.93643,"Private room",75,2,67,"2019-07-01",4.93,1,11
23258724,"Entire Place in Prime Brooklyn Neighborhood",15194406,"Yitzchok","Brooklyn","Sunset Park",40.65774,-73.99927,"Entire home/apt",89,1,113,"2019-06-19",6.7,1,13
72265,"Private room in cozy Greenpoint",340692,"Vanessa","Brooklyn","Greenpoint",40.72646,-73.95341,"Private room",59,3,29,"2019-06-16",0.36,1,15
32053614,"TINY ROOM FOR ONE PERSON",77304447,"Genesis","Manhattan","Harlem",40.82065,-73.95483,"Private room",35,5,19,"2019-07-03",4.45,3,8
34658339,"Beautiful apartment on UWS for couple or single!",34331,"Eveline","Manhattan","Upper West Side",40.79056,-73.97306,"Entire home/apt",150,30,0,"",NA,1,36
30199980,"Hidden gem in Park Slope, 19 mins away from NYC!!!",36728751,"Emily","Brooklyn","South Slope",40.66181,-73.98218,"Entire home/apt",130,4,2,"2019-05-26",0.28,1,179
2008190,"Private: The Grey Room",8481125,"Thomas","Manhattan","Upper East Side",40.76273,-73.95866,"Private room",120,1,12,"2016-09-22",0.19,2,206
26845312,"10 MINUTES FROM MANHATTAN (Big)",47015275,"Kathy","Queens","Elmhurst",40.74503,-73.88761,"Private room",80,1,3,"2018-10-07",0.29,2,317
1054006,"Bohemian East Village Brownstone",92272,"Kristin","Manhattan","Gramercy",40.73323,-73.98224,"Private room",80,3,7,"2016-09-05",0.1,3,217
35992447,"Amazing Bedroom , two stops from Times Square! LIC",218986739,"Mary","Queens","Long Island City",40.74586,-73.94553,"Private room",79,2,0,"",NA,2,279
1796722,"Effortlessly Chic WILLIAMSBURG BK",2140820,"Cory","Brooklyn","Williamsburg",40.71295,-73.93874,"Entire home/apt",190,2,11,"2019-06-15",0.24,1,331
29393659,"Private 2BR house Poyer st- 20 min to Manhattan",69439684,"Michelle & Lily","Queens","Elmhurst",40.74111,-73.88184,"Entire home/apt",179,2,31,"2019-07-05",3.65,2,239
418291,"Cozy, bright 1BR avail. in East Village apartment",626289,"Marshall","Manhattan","East Village",40.72978,-73.9793,"Private room",125,3,28,"2019-06-25",0.33,1,364
26332143,"Bayridge Clean, Beautiful, Spacious Room",198030672,"Rita","Brooklyn","Bay Ridge",40.63562,-74.0318,"Private room",55,1,4,"2018-12-30",0.35,1,156
32316672,"Cozy space, centrally located!",24697585,"Martin","Manhattan","Kips Bay",40.73951,-73.98216,"Entire home/apt",140,30,0,"",NA,1,36
927987,"Bright Doorman One Bedroom on Upper East Side",755172,"Meg","Manhattan","Upper East Side",40.77543,-73.95499,"Entire home/apt",230,3,20,"2019-06-10",0.26,1,282
35347096,"Massive 2 Bedrooms 2 Bath Private Elevator",62664257,"Shei","Manhattan","East Village",40.72671,-73.97986,"Entire home/apt",450,1,0,"",NA,1,365
13881920,"Prime west village! design 1BR~Best Value",2119276,"Host","Manhattan","Greenwich Village",40.73478,-73.99791,"Entire home/apt",150,30,8,"2019-06-14",0.32,39,275
33239233,"STUNNING BRAND NEW 2 BDR APT IN GREENPOINT, BKLN",249983430,"Emily","Brooklyn","Greenpoint",40.73644,-73.95425,"Entire home/apt",300,2,22,"2019-06-26",6.23,1,341
30200839,"Brooklyn apartment 20 min away from Manhattan",226846427,"Fidencio","Brooklyn","Bay Ridge",40.63921,-74.02474,"Entire home/apt",90,3,19,"2019-06-24",2.75,1,52
4192400,"Private+Cozy Room w/ Superhost ($0 Cleaning Fee)!",21751476,"Grace","Brooklyn","Bushwick",40.69233,-73.90579,"Private room",72,1,360,"2019-07-07",6.22,1,66
27096053,"hip cool House",203650630,"Ardinia","Brooklyn","Coney Island",40.5721,-73.99712,"Private room",290,1,1,"2019-05-31",0.75,1,364
16814385,"Modern, Cozy Room in Stunning Harlem Brownstone",72366612,"Shaun","Manhattan","Harlem",40.81884,-73.94579,"Private room",173,3,4,"2017-05-22",0.15,1,87
4783809,"Quiet, value & convenience in NYC's best hood!",177846,"Alexandra","Brooklyn","Fort Greene",40.68916,-73.977,"Entire home/apt",175,4,27,"2019-06-22",0.49,2,11
12485862,"Sunny apt w/HUGE terrace & rooftop",33936693,"Sara","Brooklyn","Williamsburg",40.71173,-73.96646,"Entire home/apt",184,4,79,"2019-06-18",2.21,1,222
28087456,"ROYAL QUEENS  ASTORIA",45404805,"Bianca","Queens","Astoria",40.769,-73.93284,"Private room",120,5,2,"2018-10-12",0.21,2,90
1534782,"Cozy",8184930,"Leonice","Brooklyn","Prospect Heights",40.68249,-73.97139,"Private room",40,1,73,"2019-05-13",1.1,1,65
6585028,"ROOFTOP TERRACE ROOM @ ELEGANT HOME NEAR JFK",19866189,"Natasha","Queens","Arverne",40.58977,-73.79498,"Private room",149,1,56,"2019-07-06",1.14,5,361
15939056,"Sunny, Contemporary 1 Bedroom Apt W/ Large Patio",103452342,"David","Queens","Kew Gardens Hills",40.72077,-73.81485,"Entire home/apt",105,4,21,"2019-05-31",0.69,1,352
27622210,"Quiet and modern Williamsburg garden 1BR",402569,"Celia","Brooklyn","Williamsburg",40.71295,-73.94459,"Entire home/apt",180,3,22,"2019-06-16",1.98,1,98
35464510,"Cozy super affordable room",259427246,"Nelly","Brooklyn","Bedford-Stuyvesant",40.67813,-73.92904,"Private room",38,5,1,"2019-06-14",1,3,356
25371790,"Huge Artist Loft Space - Red Hook",89106916,"Gabriel","Brooklyn","Red Hook",40.67737,-74.00733,"Entire home/apt",170,2,8,"2019-03-28",0.62,1,288
30938616,"Charming NYC UpperWest Apartment",38013805,"Corina","Manhattan","Upper West Side",40.79737,-73.96217,"Entire home/apt",180,3,0,"",NA,1,4
15494968,"Inviting Photographer's Loft in Tribeca",728477,"Peter","Manhattan","Tribeca",40.72274,-74.00807,"Entire home/apt",375,5,3,"2019-06-13",0.33,1,296
19507013,"LARGE 3 BEDROOMS UP TO 11 PEOPLE, 20 min TO MANHAT",136995504,"Lucky Day","Queens","Rego Park",40.7306,-73.85903,"Entire home/apt",248,3,17,"2019-06-04",0.73,1,262
32944408,"Private Room Aprtmnt shared 12 mins from Manhattan",217484432,"Dion","Queens","Ditmars Steinway",40.77726,-73.90689,"Private room",115,1,7,"2019-06-10",2.26,2,304
11401884,"Charming Pied-à-terre à New York!",59849677,"Tom & Mel","Manhattan","East Harlem",40.79736,-73.94442,"Private room",100,2,77,"2019-07-06",1.9,1,235
1209492,"Beautiful East Village Apt",396433,"Kevin","Manhattan","East Village",40.72499,-73.98127,"Private room",148,3,14,"2019-05-17",0.24,1,365
16161888,"Chill 2BD in Brooklyn",105489342,"Josephine","Brooklyn","Brownsville",40.66041,-73.91562,"Entire home/apt",129,2,73,"2019-06-24",2.34,1,82
27784595,"Sonder | Madison Ave | Relaxed 1BR + Gym",12243051,"Sonder","Manhattan","Midtown",40.74681,-73.98488,"Entire home/apt",239,29,0,"",NA,96,327
28568117,"Harlem Heights Suite",39174150,"Keanna","Manhattan","Harlem",40.82445,-73.95218,"Private room",200,2,21,"2019-06-13",2.35,3,38
17493275,"Large one bedroom in historic Clinton Hill",775409,"John","Brooklyn","Clinton Hill",40.69478,-73.96126,"Entire home/apt",140,3,34,"2019-07-05",2.95,1,54
17111449,"Spacious Private Room - Harlem/Manhattan Townhouse",4538012,"Karen","Manhattan","East Harlem",40.80921,-73.94002,"Private room",70,2,89,"2019-06-29",3.28,4,249
9958322,"1BD,shared bath&kitchen in lic",31534322,"Nia","Queens","Long Island City",40.74767,-73.94468,"Private room",55,2,107,"2019-06-23",2.47,4,46
21211369,"HUGE 2 Floor Penthouse w Private Roof",4457116,"Greg","Brooklyn","Crown Heights",40.66541,-73.95736,"Entire home/apt",475,1,29,"2019-06-27",1.72,1,123
422040,"Gorgeous ! Best Location in NYC !",1090764,"Lynda","Manhattan","Upper West Side",40.77995,-73.98342,"Private room",99,30,27,"2017-08-11",0.31,1,189
32483378,"LUXURY STUDIO ON WEST 50TH-DOORMAN/GYM/LAUNDRY",200380610,"Pranjal","Manhattan","Hell's Kitchen",40.76259,-73.98667,"Entire home/apt",190,30,0,"",NA,65,365
31881052,"Park Slope Villa",238953933,"Claudia","Brooklyn","South Slope",40.66371,-73.9876,"Entire home/apt",110,1,48,"2019-06-23",9.93,1,250
15732919,"Cozy. Clean. And affordable",101643312,"Tony","Queens","Queens Village",40.72828,-73.73542,"Private room",149,30,0,"",NA,2,90
29936587,"Bright and stylish bedroom 20min from Times Square",140930693,"Max And Kathy","Bronx","Mott Haven",40.81167,-73.92729,"Private room",55,1,38,"2019-06-21",4.75,2,301
9030997,"ARTISTIC STUDIO FOR TWO",47139912,"Claude","Manhattan","Upper East Side",40.77029,-73.95812,"Entire home/apt",110,3,69,"2018-09-10",1.78,1,5
34286519,"Sonder | Upper East Side | Chic 1BR + Sofa Bed",219517861,"Sonder (NYC)","Manhattan","Upper East Side",40.76447,-73.96509,"Entire home/apt",150,29,0,"",NA,327,221
27252114,"TOWNHOUSE CHARME IN CITY~EAST 59th STREET STUDIO",200380610,"Pranjal","Manhattan","Midtown",40.75909,-73.96398,"Entire home/apt",154,30,0,"",NA,65,364
25126466,"Spacious room, suburban house,20 mn from Manhattan",189610052,"Kheira","Queens","Glendale",40.70537,-73.88899,"Private room",50,2,19,"2019-07-01",1.38,1,337
33279235,"Chic Room in Midtown Manhattan | Outdoor Restaurant Terrace + Smart TV",239660813,"Yotel","Manhattan","Hell's Kitchen",40.75885,-73.99595,"Private room",135,1,0,"",NA,10,275
21610489,"Spacious 1BD on west 48th street and 5th Ave",6840321,"Shu-Fen","Manhattan","Midtown",40.7582,-73.97843,"Entire home/apt",210,29,0,"",NA,1,340
24337254,"COZY THREE BEDROOM APT NEAR JFK AIRPORT",183633639,"Nydia","Queens","Richmond Hill",40.69004,-73.83368,"Entire home/apt",138,1,28,"2019-06-22",1.88,1,347
31926655,"SPACIOUS- 3 Bedroom Harlem gem 5 mins from train",115075522,"Christian","Manhattan","Harlem",40.82656,-73.94648,"Entire home/apt",225,1,13,"2019-07-01",3.22,1,83
13298512,"Large Bedroom in Clinton Hill/Bed-Stuy, Brooklyn!",6444963,"Tiffany","Brooklyn","Bedford-Stuyvesant",40.69041,-73.96026,"Private room",50,6,3,"2019-02-11",0.08,1,3
5611893,"Clean BD: Heart of the East Village",5934575,"Karly","Manhattan","East Village",40.72795,-73.98539,"Private room",89,4,6,"2019-06-24",0.14,1,35
14575253,"Sunny Bushwick space with yoga loft",74471200,"Austin","Brooklyn","Bushwick",40.69485,-73.92948,"Private room",81,1,10,"2017-09-18",0.29,1,35
22191500,"Cozy room for one JFK, LGA & subway to Manhattan",162142087,"Christian","Queens","Jamaica",40.68739,-73.80555,"Private room",50,1,36,"2019-06-23",1.96,3,359
674692,"A LITTLE PARADISE NEXT TO SUBWAY!",3425965,"Francesca","Queens","Ridgewood",40.70719,-73.89632,"Private room",75,14,11,"2018-08-31",0.15,1,332
32921148,"Cozy room w/ Laundry in Building + 3 Bathrooms!",136010789,"Rebeca & John @ Bedly","Brooklyn","Bushwick",40.69387,-73.91826,"Private room",33,30,0,"",NA,2,54
36275781,"Private Bedroom in Duplex in Williamsburg",271282883,"Terence","Brooklyn","Greenpoint",40.72613,-73.9426,"Private room",109,6,0,"",NA,2,54
11436132,"Long Island City Penthouse 1 stop 2 Manhattan",217922,"Eileen","Queens","Long Island City",40.74859,-73.93904,"Entire home/apt",110,30,32,"2019-05-17",0.84,1,66
22267906,"located 15 minutes away from Time Square",24875845,"Devito","Manhattan","Harlem",40.82592,-73.93911,"Private room",85,2,15,"2019-07-02",0.82,1,75
35512965,"Quiet Cozy Clean Home",256502464,"Paul","Manhattan","Harlem",40.82784,-73.94559,"Private room",55,1,0,"",NA,3,21
33829538,"Luxury 2 Bed 2 Full Bath Walk to Times Square",255414914,"Stanley","Manhattan","Theater District",40.75746,-73.98795,"Entire home/apt",420,5,14,"2019-06-30",5.06,1,137
33856727,"Master Bedroom w/Private bath Artsy Apt in Bushwik",2373120,"Elena","Brooklyn","Bushwick",40.70041,-73.92884,"Private room",90,5,2,"2019-06-30",0.94,2,323
32726808,"Stylish & Cozy Room Same Street As The Subway",219727469,"Marcelo","Brooklyn","Bedford-Stuyvesant",40.67803,-73.9102,"Private room",75,1,17,"2019-06-16",4.51,4,227
34121944,"Spacious, studio w/ great lighting in heart of BK",17361902,"Shauna","Brooklyn","Crown Heights",40.67114,-73.94921,"Entire home/apt",99,3,1,"2019-05-17",0.57,1,1
34859949,"Amazing Townhouse Experience with Private Garden",262800168,"Jennifer","Manhattan","Midtown",40.7431,-73.98233,"Entire home/apt",1000,2,6,"2019-06-30",5.29,1,231
36188287,"Available for 4th July to 6th July",129250918,"Manthan","Brooklyn","Fort Greene",40.68781,-73.98012,"Shared room",200,1,0,"",NA,1,9
23957636,"Water views in two directions",19640594,"C.","Manhattan","Battery Park City",40.70902,-74.01686,"Entire home/apt",295,75,0,"",NA,1,55
6571039,"WoodyAllen FilmSet-Like Digs (Apt)",1808103,"Maria","Brooklyn","Williamsburg",40.70723,-73.95515,"Entire home/apt",90,2,85,"2019-06-09",1.99,2,4
27281452,"Budget Friendly Private Room in Brooklyn “L”",52140932,"Diana And Peter","Brooklyn","Bedford-Stuyvesant",40.6838,-73.95161,"Private room",60,2,25,"2019-06-12",2.29,7,349
9550884,"Cute basement apartment",1459446,"Katie","Brooklyn","Windsor Terrace",40.64801,-73.97562,"Private room",90,3,4,"2018-11-04",0.09,1,290
20607771,"Clean room 4 blocks to the N/W Train",76829914,"Erik","Queens","Astoria",40.76398,-73.91974,"Private room",90,5,2,"2017-09-20",0.09,1,83
33455408,"Cozy Place in the Middle of Manhattan",251817021,"Lincoln","Manhattan","Hell's Kitchen",40.76769,-73.98681,"Shared room",95,1,4,"2019-06-08",2.22,5,19
28660257,"Gorgeous Bedroom in the heart of Bushwick Him-3R-3",216235179,"Nina","Brooklyn","Bushwick",40.70161,-73.91922,"Private room",50,30,1,"2019-07-01",1,17,184
34271296,"Gracious Art-Deco 2 Bed Home on Tree-lined street",257892281,"Alissandra","Manhattan","Upper East Side",40.77116,-73.94774,"Entire home/apt",299,4,9,"2019-07-06",5,1,170
539160,"Manhattan *SuperHost* Luxury 2 Bdrm Apt Sleeps 6+",512878,"Michelle","Manhattan","Washington Heights",40.83064,-73.94076,"Entire home/apt",170,1,47,"2019-04-28",0.58,2,17
31060046,"Nice place in Brooklyn .",201718939,"Leon","Brooklyn","Greenpoint",40.73201,-73.95699,"Private room",120,5,0,"",NA,1,77
30888271,"Cozy Cypress Suite Convenient To Train & JFK ×",230801598,"JuVita","Brooklyn","Cypress Hills",40.68426,-73.87461,"Private room",80,1,10,"2019-06-19",1.51,1,32
33399665,"AC Hotel New York Downtown-7 Nights Min",5144567,"Yun","Manhattan","Financial District",40.70569,-74.00403,"Private room",169,7,1,"2019-05-14",0.53,13,365
33621795,"Queen Room",257565053,"The Redford","Manhattan","Lower East Side",40.7211,-73.9893,"Private room",135,1,0,"",NA,2,162
27504290,"Bright & modern one bed in heart of Williamsburg!",33467956,"Risa","Brooklyn","Williamsburg",40.71786,-73.95434,"Entire home/apt",175,1,15,"2019-07-07",1.33,1,8
3133055,"Relax in an oasis of quiet in a beautiful house!",15908653,"Gil","Brooklyn","Flatbush",40.63463,-73.95899,"Private room",160,2,156,"2019-07-01",2.54,2,307
6544347,"Spend Summer in Park Slope",2232455,"Zach","Brooklyn","Park Slope",40.67289,-73.97129,"Entire home/apt",150,7,4,"2018-08-06",0.08,1,94
16334686,"Cozy with Great location !!!!",43719073,"Nora","Brooklyn","Sheepshead Bay",40.59813,-73.95432,"Shared room",37,1,47,"2019-06-23",1.58,5,354
29847462,"Park Slope - Brand New Bright 3 Bedroom, 2.5 Bath",5847816,"Tristan","Brooklyn","Park Slope",40.66724,-73.98039,"Entire home/apt",700,4,2,"2019-06-12",0.32,1,174
10252921,"Central Located Private Apartment, New York Queens",52705961,"Harish","Queens","Forest Hills",40.73352,-73.85237,"Entire home/apt",69,1,85,"2019-07-01",2.13,1,308
36212415,"Beautiful studio in far rockaway",272365275,"Abimbola","Queens","Bayswater",40.59947,-73.76468,"Private room",55,1,0,"",NA,1,170
33831113,"Sonder | Stock Exchange | Vibrant 2BR + Sofa Bed",219517861,"Sonder (NYC)","Manhattan","Financial District",40.70713,-74.01205,"Entire home/apt",255,2,4,"2019-06-20",1.62,327,215
33452409,"Home Sweet Home",92411,"Karen","Manhattan","Harlem",40.82857,-73.95161,"Entire home/apt",175,30,0,"",NA,1,5
34206163,"Midtown Manhattan - Cozy Triple Room",252604696,"Erin","Manhattan","Chelsea",40.74889,-73.99656,"Private room",199,1,2,"2019-05-26",1.15,20,352
28437372,"Newly renovated private room w/ view! 5mins to N/R",214678935,"Kin","Brooklyn","Sunset Park",40.64689,-74.01401,"Private room",55,1,31,"2019-06-28",3.1,3,361
6227680,"Amazing 2 Bedroom Bklyn apt, near SUNY Downstate!",23548583,"Shari","Brooklyn","East Flatbush",40.65336,-73.94345,"Entire home/apt",109,30,23,"2018-10-27",0.46,2,188
29215351,"Private!  Entire loft near the waterfront!",220121415,"Min","Brooklyn","Williamsburg",40.7075,-73.96576,"Entire home/apt",96,3,22,"2019-06-04",2.59,1,58
6046877,"Private room in queens New York",31376201,"William","Queens","Kew Gardens",40.7064,-73.83327,"Private room",150,1,0,"",NA,3,363
22878090,"HUGE studio apartment near ALL!",116754031,"Rosemary","Brooklyn","East Flatbush",40.6329,-73.92784,"Entire home/apt",80,1,53,"2019-06-15",3.02,3,363
23870093,"Private Sunny Apt In Beautiful Brooklyn Brownstone",6570552,"Hugo","Brooklyn","Bedford-Stuyvesant",40.68424,-73.93851,"Entire home/apt",120,5,2,"2018-09-25",0.2,1,301
28782669,"Encuentra la tranquilidad ideal",216411482,"Adriana","Queens","East Elmhurst",40.76349,-73.88662,"Private room",40,2,21,"2019-06-27",2.27,1,30
32426202,"Modern 2 Bedroom Walk in. 3 min from Subway !",9289171,"Chaim","Brooklyn","Crown Heights",40.66916,-73.93182,"Entire home/apt",125,2,20,"2019-07-07",9.68,1,87
14254624,"Full Cosy apart in the middle of Manhattan!",60366482,"Aksa","Manhattan","Midtown",40.75095,-73.97115,"Entire home/apt",110,4,36,"2019-06-01",1.05,1,40
32238473,"Sonder | Stock Exchange | Sleek Studio + Kitchen",219517861,"Sonder (NYC)","Manhattan","Financial District",40.70581,-74.01226,"Entire home/apt",241,2,5,"2019-06-12",1.35,327,284
33314007,"Room with own living room, 1 stop from Manhattan",25476420,"Laura","Brooklyn","Fort Greene",40.69438,-73.9712,"Private room",51,12,0,"",NA,1,44
25813796,"Fanta Sea Home 2",131777975,"Jewell","Brooklyn","Brownsville",40.66528,-73.91829,"Private room",50,4,6,"2019-06-30",0.62,3,330
35914591,"**Central Park* UWS Luxury 4 Bed/2 Bath Sleeps 8!!",270139900,"Norman","Manhattan","Upper West Side",40.78439,-73.97746,"Entire home/apt",307,4,0,"",NA,1,344
12210448,"2 Bed Private Room + Private Bath in Lovely Loft!",59928816,"Elizabeth","Queens","Ridgewood",40.70707,-73.91384,"Private room",120,2,162,"2019-06-27",4.12,2,268
27287158,"BEST LOCATION - AMAZING 1 Bedroom Apartment 2 beds",606154,"Sam","Manhattan","Gramercy",40.73508,-73.98477,"Entire home/apt",118,3,21,"2019-06-23",1.86,2,10
18226108,"1-bedroom apartment in Williamsburg, Brooklyn",57641560,"Christopher","Brooklyn","Williamsburg",40.7164,-73.95437,"Entire home/apt",146,4,58,"2019-06-22",2.5,2,17
31698813,"Cozy & Comfortable room-flushing subway",111142003,"Se 小瑟","Queens","Flushing",40.75187,-73.81691,"Private room",40,1,10,"2019-06-18",2.52,1,205
15342701,"New, elegant private apartment for 2 near JFK",97825348,"Frank","Queens","Arverne",40.59065,-73.79563,"Entire home/apt",150,2,20,"2019-07-07",0.61,1,76
28541768,"Cosy small room 15 mins away from Manhattan",215407308,"Hawk","Queens","Sunnyside",40.73829,-73.9274,"Private room",49,3,14,"2019-05-07",1.44,3,106
9384723,"North of Madison Square Park Duplex",13838573,"Zachary Robert","Manhattan","Midtown",40.74538,-73.98313,"Entire home/apt",285,31,5,"2016-05-24",0.12,1,365
15614302,"2. Private 1BR Suite in Shared Marine Park Apt.",78276061,"David","Brooklyn","Flatlands",40.61863,-73.93183,"Private room",55,2,39,"2019-06-29",1.27,1,247
6425751,"LUXURY DOORMAN HIGH RISE One Bedroom",33530934,"Jason","Manhattan","Hell's Kitchen",40.76525,-73.99056,"Entire home/apt",272,1,38,"2019-05-09",0.89,1,360
34949054,"One bedroom in Murray Hill",263351102,"Eliza","Manhattan","Murray Hill",40.74561,-73.97784,"Entire home/apt",135,14,1,"2019-07-05",1,1,2
22406109,"COZY STUDIO IN THE HEART OF CENTRAL HARLEM!",54656266,"Asya","Manhattan","Harlem",40.81911,-73.93794,"Entire home/apt",90,2,38,"2019-06-30",2.05,1,25
